product_id,product_name,category,price
1,Smartphone,Electronics,34677.35
2,Laptop,Electronics,17725.08
3,Tablet,Electronics,14962.7
4,Wireless Earbuds,Electronics,22429.97
5,Bluetooth Speaker,Electronics,10297.65
6,Smart Watch,Electronics,4261.55
7,USB-C Hub,Electronics,8601.16
8,Webcam HD,Electronics,9241.5
9,Mechanical Keyboard,Electronics,17711.37
10,Gaming Mouse,Electronics,23870.67
11,LED Monitor,Electronics,9158.7
12,Portable SSD,Electronics,22508.83
13,Power Bank 20000mAh,Electronics,16584.54
14,Smart Bulb,Electronics,16946.27
15,WiFi Router,Electronics,12122.93
16,Action Camera,Electronics,9709.22
17,DSLR Camera,Electronics,8797.3
18,Noise Cancelling Headphones,Electronics,13880.68
19,Smart TV 43inch,Electronics,14464.54
20,Dash Cam,Electronics,32845.32
21,Men Formal Shirt,Fashion,2544.03
22,Women Kurta,Fashion,2620.27
23,Denim Jeans,Fashion,1953.5
24,Sports Sneakers,Fashion,6340.28
25,Leather Belt,Fashion,2324.28
26,Silk Saree,Fashion,2642.79
27,Casual T-Shirt,Fashion,2188.31
28,Ankle Boots,Fashion,1775.64
29,Handbag,Fashion,4893.57
30,Sunglasses,Fashion,1403.58
31,Winter Jacket,Fashion,6732.13
32,Yoga Pants,Fashion,1685.29
33,Formal Trousers,Fashion,1698.73
34,Cotton Dupatta,Fashion,2001.65
35,Wristwatch Classic,Fashion,3479.16
36,Basmati Rice 5kg,Grocery,183.94
37,Toor Dal 1kg,Grocery,655.73
38,Sunflower Oil 1L,Grocery,138.12
39,Amul Butter 500g,Grocery,101.58
40,Organic Honey 500g,Grocery,273.41
41,Green Tea 100bags,Grocery,447.24
42,Turmeric Powder 200g,Grocery,735.22
43,Almonds 500g,Grocery,505.11
44,Oats 1kg,Grocery,366.47
45,Wheat Flour 10kg,Grocery,900
46,Coconut Oil 1L,Grocery,469.03
47,Mixed Nuts 250g,Grocery,548.86
48,Coffee Powder 200g,Grocery,378.3
49,Chickpeas 1kg,Grocery,328.53
50,Dark Chocolate 100g,Grocery,93.07
51,Non-Stick Cookware Set,Home,27826.06
52,Vacuum Cleaner,Home,2993.54
53,Air Purifier,Home,29275.63
54,Bedsheet King Size,Home,16352.14
55,Curtains Set,Home,17734.48
56,Ceiling Fan,Home,19981.25
57,Water Purifier RO,Home,27928.76
58,Mixer Grinder,Home,35000
59,Iron Box Steam,Home,11291.07
60,Pressure Cooker 5L,Home,5362.02
61,Sofa 3-Seater,Home,19565.56
62,Dining Table Set,Home,3741.68
63,Wall Clock Wooden,Home,28194.3
64,Photo Frame Set,Home,8779.95
65,Floor Lamp,Home,11403.41
66,Cricket Bat Kasheer Willow,Sports,6585.97
67,Football Size 5,Sports,5967.01
68,Badminton Racket Set,Sports,10754.92
69,Yoga Mat Anti-Slip,Sports,4644.01
70,Dumbbells 5kg Pair,Sports,8056.45
71,Cycling Helmet,Sports,9977.4
72,Swimming Goggles,Sports,6075.46
73,Treadmill Home,Sports,5002.56
74,Protein Whey 1kg,Sports,21497.34
75,Resistance Bands Set,Sports,12640.62
76,Tennis Racket,Sports,14095.75
77,Skipping Rope,Sports,21229.02
78,Face Wash Neem,Beauty,759.83
79,Moisturizer SPF50,Beauty,900.32
80,Lipstick Set 6,Beauty,311.0
81,Hair Oil Coconut,Beauty,880.79
82,Perfume Floral 100ml,Beauty,1121.7
83,Foundation Liquid,Beauty,1978.56
84,Eyeshadow Palette,Beauty,430.57
85,Sunscreen SPF70,Beauty,1073.28
86,Serum Vitamin C,Beauty,862.78
87,Shampoo Anti-Dandruff,Beauty,291.42
88,Nail Polish Set,Beauty,855.25
89,BB Cream,Beauty,1909.21
90,Smartphone Mini,Electronics,8872.42
91,Laptop Ultra,Electronics,11957.95
92,Tablet Classic,Electronics,12304.77
93,Wireless Earbuds Plus,Electronics,16266.25
94,Bluetooth Speaker Pro,Electronics,19360.44
95,Smart Watch Gold,Electronics,23674.7
96,USB-C Hub Ultra,Electronics,36229.68
97,Webcam HD Lite,Electronics,27969.04
98,Mechanical Keyboard Lite,Electronics,34535.36
99,Gaming Mouse Pro,Electronics,9318.18
100,LED Monitor Deluxe,Electronics,11270.0
101,Portable SSD Mini,Electronics,19115.87
102,Power Bank 20000mAh Silver,Electronics,12971.1
103,Smart Bulb Classic,Electronics,14297.35
104,WiFi Router Mini,Electronics,25666.06
105,Action Camera Gold,Electronics,38886.67
106,DSLR Camera Elite,Electronics,50000
107,Noise Cancelling Headphones Eco,Electronics,14576.99
108,Smart TV 43inch Eco,Electronics,7977.06
109,Dash Cam Premium,Electronics,14173.9
110,Men Formal Shirt Eco,Fashion,5108.06
111,Women Kurta Premium,Fashion,4338.03
112,Denim Jeans Eco,Fashion,2897.56
113,Sports Sneakers Max,Fashion,825.74
114,Leather Belt Mini,Fashion,2831.29
115,Silk Saree Mini,Fashion,1814.86
116,Casual T-Shirt Eco,Fashion,5991.13
117,Ankle Boots Classic,Fashion,1368.9
118,Handbag Premium,Fashion,2149.56
119,Sunglasses HD,Fashion,2649.03
120,Winter Jacket Silver,Fashion,2889.14
121,Yoga Pants Lite,Fashion,8000
122,Formal Trousers Mini,Fashion,1957.42
123,Cotton Dupatta Deluxe,Fashion,1808.22
124,Wristwatch Classic Pro,Fashion,1975.05
125,Basmati Rice 5kg Deluxe,Grocery,277.93
126,Toor Dal 1kg Pro,Grocery,204.88
127,Sunflower Oil 1L Lite,Grocery,486.76
128,Amul Butter 500g Eco,Grocery,222.38
129,Organic Honey 500g Deluxe,Grocery,600.53
130,Green Tea 100bags Plus,Grocery,292.13
131,Turmeric Powder 200g Gold,Grocery,284.05
132,Almonds 500g Smart,Grocery,900
133,Oats 1kg Gold,Grocery,210.01
134,Wheat Flour 10kg Max,Grocery,577.15
135,Coconut Oil 1L Gold,Grocery,900
136,Mixed Nuts 250g Pro,Grocery,178.88
137,Coffee Powder 200g Eco,Grocery,233.47
138,Chickpeas 1kg Premium,Grocery,144.35
139,Dark Chocolate 100g Lite,Grocery,183.35
140,Non-Stick Cookware Set Silver,Home,18949.01
141,Vacuum Cleaner Elite,Home,17970.71
142,Air Purifier HD,Home,26503.61
143,Bedsheet King Size Silver,Home,20735.16
144,Curtains Set Smart,Home,17440.48
145,Ceiling Fan Eco,Home,13813.96
146,Water Purifier RO Premium,Home,11093.3
147,Mixer Grinder Ultra,Home,9471.35
148,Iron Box Steam Gold,Home,21169.22
149,Pressure Cooker 5L Deluxe,Home,17697.97
150,Sofa 3-Seater Deluxe,Home,9042.13
151,Dining Table Set Elite,Home,24875.27
152,Wall Clock Wooden Gold,Home,26901.04
153,Photo Frame Set Elite,Home,7680.91
154,Floor Lamp Deluxe,Home,15842.12
155,Cricket Bat Kasheer Willow Smart,Sports,11311.07
156,Football Size 5 Deluxe,Sports,3874.18
157,Badminton Racket Set Eco,Sports,6965.15
158,Yoga Mat Anti-Slip Smart,Sports,25000
159,Dumbbells 5kg Pair Classic,Sports,13356.73
160,Cycling Helmet Deluxe,Sports,14632.63
161,Swimming Goggles Elite,Sports,13026.07
162,Treadmill Home Plus,Sports,10081.01
163,Protein Whey 1kg Elite,Sports,10850.72
164,Resistance Bands Set Ultra,Sports,7356.63
165,Tennis Racket Plus,Sports,13398.88
166,Skipping Rope Lite,Sports,22771.09
167,Face Wash Neem Classic,Beauty,615.97
168,Moisturizer SPF50 Elite,Beauty,444.17
169,Lipstick Set 6 Premium,Beauty,1178.42
170,Hair Oil Coconut Silver,Beauty,1531.9
171,Perfume Floral 100ml Pro,Beauty,1338.92
172,Foundation Liquid Pro,Beauty,3000
173,Eyeshadow Palette Max,Beauty,552.18
174,Sunscreen SPF70 Silver,Beauty,427.71
175,Serum Vitamin C Classic,Beauty,845.6
176,Shampoo Anti-Dandruff Pro,Beauty,1657.41
177,Nail Polish Set Ultra,Beauty,1851.38
178,BB Cream Max,Beauty,581.99
179,Smartphone Pro,Electronics,50000
180,Laptop Eco,Electronics,35065.64
181,Tablet Silver,Electronics,24487.69
182,Wireless Earbuds Plus,Electronics,29824.06
183,Bluetooth Speaker Classic,Electronics,8782.23
184,Smart Watch Smart,Electronics,44066.12
185,USB-C Hub Max,Electronics,21487.25
186,Webcam HD Eco,Electronics,13326.19
187,Mechanical Keyboard Mini,Electronics,20633.33
188,Gaming Mouse Deluxe,Electronics,16956.64
189,LED Monitor Classic,Electronics,18659.18
190,Portable SSD Plus,Electronics,31409.85
191,Power Bank 20000mAh Gold,Electronics,13771.82
